2026-07-14T17:23:36.030925604Z [inf]  Starting Container
2026-07-14T17:23:36.303263616Z [inf]  Server listening
2026-07-14T17:23:36.303399796Z [inf]  
2026-07-14T17:23:36.303402236Z [inf]  > @workspace/api-server@0.0.0 start /app/artifacts/api-server
2026-07-14T17:23:36.303404886Z [inf]  > node --enable-source-maps ./dist/index.mjs
2026-07-14T17:23:36.303407906Z [inf]  
2026-07-14T17:31:37.165435597Z [inf]  request completed
2026-07-14T17:31:37.165438927Z [inf]  request completed
2026-07-14T17:31:37.165441837Z [inf]  request completed
2026-07-14T17:31:37.165444777Z [inf]  request completed
2026-07-14T17:31:37.165447996Z [inf]  request completed
2026-07-14T17:31:37.165451326Z [inf]  Unhandled error
2026-07-14T17:31:37.165951555Z [inf]  request errored
2026-07-14T17:31:37.165954635Z [inf]  request completed
2026-07-14T17:31:37.165958025Z [inf]  request completed
2026-07-14T17:32:57.282731099Z [inf]  request completed
2026-07-14T17:32:57.282737999Z [inf]  request completed
2026-07-14T17:32:57.282741939Z [inf]  request completed
2026-07-14T17:32:57.282746759Z [inf]  request completed
2026-07-14T17:32:57.282752249Z [inf]  Unhandled error
2026-07-14T17:32:57.283679258Z [inf]  request errored
2026-07-14T17:32:57.283685388Z [inf]  request completed
2026-07-14T17:32:57.283689288Z [inf]  request completed
2026-07-14T17:32:57.283692948Z [inf]  request completed
2026-07-14T17:34:17.411209484Z [inf]  request completed
2026-07-14T17:34:17.411213554Z [inf]  request completed
2026-07-14T17:34:17.411217294Z [inf]  request completed
2026-07-14T17:34:17.411220764Z [inf]  request completed
2026-07-14T17:34:17.411224194Z [inf]  Unhandled error
2026-07-14T17:34:17.411837114Z [inf]  request errored
2026-07-14T17:34:17.411844544Z [inf]  request completed
2026-07-14T17:34:17.411848954Z [inf]  request completed
2026-07-14T17:34:17.411853424Z [inf]  request completed
2026-07-14T17:34:17.411856904Z [inf]  Unhandled error
2026-07-14T17:34:17.413178502Z [inf]  request errored
2026-07-14T17:34:17.413184892Z [inf]  request completed
2026-07-14T17:34:17.413188332Z [inf]  request completed
2026-07-14T17:34:17.413193102Z [inf]  request completed
